      0,     0.05, 0.1,   0.2, 0.3,  0.4, 0.5,  0.6, 0.8
0.1, -1.28, -3.34, -5.06, 1.03, 3.43, 3.74, 4.0, 3.0, -6.32
0.2, -0.77, -0.49, -1.51, -0.16, 0.92, 2.87, 2.59, -1.3, -7.09
0.3, 1.15,  0.87,  -2.05, -1.89, -0.19, -1.44, -0.93, -2.34, -3.49
0.4, 1.29, 1.14,   -1.3, -0.65, -2.41, -2.5, -2.93, -1.48, -3.61
0.5, 1.43, 1.41,   -0.69, -0.15, -2.43, -2.1, -3.73, -1.26, -3.52
0.6, 1.58, 1.50,   -0.69, -0.42, -2.37, -2.96, -4.33, -0.3, -2.73
0.7, 1.67, 1.52,   -0.75, -0.46, -2.38, -5.16, -4.36, 0.28, -2.85
0.8, 1.72, 1.54,   -0.94, -0.67, -2.52, -6.23, -0.28, 0.52, -3.00
0.9, 1.74, 1.55,   -0.88, -1.02, -4.15, -6.23, 0.86, 0.47, -2.89
1.0, 1.76, 1.54,   -0.95, -1.31, -4.79, -6.10, 0.60, 0.38, -2.74
