     0.0, 0.05, 0.1,  0.2,  0.3,  0.4,  0.5,   0.6,   0.8
0.1, 0.0, -0.47, 1.55, 0.78, -1.84, -4.15, -4.78, -5.95, -7.7
0.2, 0.0, 0.02,  1.32, 2.14, 0.16, -2.02, -3.96, -4.62, -5.47
0.3, 0.0, 0.13,  3.73, 5.59, 0.23, -0.40, -2.73, -3.95, -3.46
0.4, 0.0, 0.54,  4.29, 3.50, 2.52, 0.23, -1.64, -2.81, -2.61
0.5, 0.0, 0.77,  4.33, 3.75, 3.38, 1.33, -1.82, -2.37, -2.15
0.6, 0.0, 1.00,  4.73, 4.90, 4.52, 3.33, -0.04, -2.20, -1.96
0.7, 0.0, 0.92,  4.88, 5.48, 5.26, 5.60, 0.58, -2.14, -1.86
0.8, 0.0, 0.81,  5.28, 5.95, 5.97, 6.48, -1.15, -2.08, -1.70
0.9, 0.0, 0.75,  5.16, 6.60, 8.33, 7.02, -1.83, -2.12, -1.69
1.0, 0.0, 0.69,  5.33, 7.07, 9.43, 6.91, -1.67, -2.11, -1.85
